year_of_manufacture,manufacturer,model,mileage,body_type,transmission,drivetrain,exterior_colour,interior_colour,passengers,doors,fuel_type,price,city_consumption,highway_consumption,engine_displacement_L,engine_cylinders,engine_type,car_state
2019,Volkswagen,Tiguan,46728.0,SUV,Automatic,4X4,white,black,7,4,gasoline,28382,11.1,8.1,2.4,4.0,Inline,2
2019,Nissan,Sentra,158620.0,Sedan,CVT,FWD,white,black,5,4,gasoline,20548,10.8,8.7,1.8,4.0,Inline,2
2020,Mercedes-Benz,GLE-Class,82144.0,SUV,Automatic,4X4,black,black,5,4,gasoline,40730,10.8,8.7,2.4,6.0,Inline,3
2012,Kia,Sorento,222000.0,SUV,Automatic,4X4,white,black,5,4,gasoline,5575,10.8,8.7,2.4,4.0,Inline,3
2019,Buick,Enclave,83000.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,42329,10.8,8.7,2.4,4.0,Inline,1
2022,Chevrolet,Silverado,26582.0,Truck,Automatic,4X4,white,black,5,4,diesel,61631,11.8,10.3,3.0,6.0,Inline,2
2010,Ford,Escape,182824.0,SUV,Automatic,FWD,blue,black,5,4,gasoline,1811,10.9,8.0,3.0,6.0,V-Engine,4
1990,Mercedes-Benz,190,132999.0,Sedan,Manual,RWD,black,black,5,4,gasoline,504951,10.8,8.7,2.4,4.0,Inline,2
2016,Volvo,XC90,130945.0,SUV,Automatic,4X4,black,black,5,4,gasoline,8978,11.5,9.5,2.4,4.0,Inline,4
2023,Honda,HR-V,0.0,SUV,CVT,FWD,white,black,5,4,gasoline,33635,9.1,7.4,2.4,4.0,Inline,2
2023,Jeep,WRANGLER,14.0,SUV,Automatic,4X4,green,black,5,4,gasoline,65339,11.5,10.05,2.0,4.0,Inline,1
2017,Porsche,Cayenne,92000.0,SUV,Automatic,4X4,white,gray,5,4,gasoline,31091,13.25,9.95,3.6,4.0,Other,3
2016,MINI,Cooper,45000.0,Hatchback,Automatic,FWD,black,black,4,2,gasoline,18930,8.1,5.9,2.4,3.0,Inline,2
2020,Porsche,Macan,42568.0,SUV,Automatic,4X4,black,black,5,4,gasoline,39542,10.8,8.7,2.4,4.0,Inline,3
2017,Ford,Escape,106000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,22162,10.8,8.7,1.5,4.0,Other,1
2019,Mercedes-Benz,GLS-Class,46278.0,SUV,Automatic,4X4,white,black,5,4,gasoline,78568,14.9,11.2,2.4,6.0,Inline,1
2022,Chevrolet,Tahoe,15294.0,SUV,Automatic,4X4,black,black,5,4,gasoline,62880,15.8,11.8,5.3,4.0,Other,3
2020,Jaguar,F-Pace,39183.0,SUV,Automatic,4X4,black,black,5,4,gasoline,14949,10.7,8.8,2.4,4.0,Other,4
2018,Dodge,Charger,135000.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,27954,10.8,8.7,3.6,4.0,Other,1
2017,Mercedes-Benz,GLE,107000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,45022,13.1,10.1,3.0,6.0,V-Engine,2
2018,Cadillac,XT5,105593.0,SUV,Automatic,4X4,black,black,5,4,gasoline,33537,12.9,8.9,3.6,4.0,Other,2
2021,Lamborghini,Huracan,8258.0,Convertible,Automatic,RWD,blue,black,5,4,gasoline,435632,18.1,13.1,2.4,10.0,Inline,2
2022,Jeep,Wrangler,6676.0,SUV,Automatic,4X4,metallic,black,5,4,gasoline,26694,18.5,14.1,6.4,8.0,V-Engine,4
2012,Mazda,Mazda3,219630.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,7694,8.399999999999999,5.95,2.0,4.0,Other,1
2023,Infiniti,QX55,90.0,SUV,Automatic,4X4,black,beige,5,4,gasoline,64788,10.4,8.3,2.4,4.0,Inline,2
2020,Hyundai,Elantra,39299.0,Compact,CVT,FWD,black,black,4,4,gasoline,25273,7.8,5.6,2.0,4.0,Inline,1
2020,Mercedes-Benz,GLC300,71752.0,SUV,Automatic,4X4,black,black,5,4,gasoline,54713,11.2,8.5,2.4,4.0,Inline,1
2018,Mercedes-Benz,GLE,67000.0,SUV,Automatic,4X4,black,brown,5,4,gasoline,12230,13.5,10.3,3.0,4.0,Other,4
2022,Porsche,Cayenne,25467.0,SUV,Automatic,4X4,gray,red,5,4,gasoline,117860,13.4,10.9,2.4,6.0,V-Engine,2
2023,BMW,230,90.0,Coupe,Automatic,4X4,white,red,5,4,gasoline,40225,9.6,6.9,2.0,4.0,Inline,3
2020,Ford,Escape,54264.0,SUV,Automatic,4X4,black,black,5,2,gasoline,28719,10.8,8.7,2.4,3.0,Inline,2
2017,Honda,CR-V,104664.0,SUV,Automatic,4X4,blue,gray,5,4,gasoline,10841,8.7,7.2,2.4,4.0,V-Engine,4
2022,Volkswagen,Jetta,8728.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,39414,9.0,6.5,2.4,4.0,Inline,2
2022,Hyundai,Elantra,40650.0,Sedan,CVT,FWD,white,black,5,4,gasoline,22136,7.6,5.7,2.0,4.0,Inline,3
2023,Jeep,Wrangler,8.0,SUV,Automatic,4X4,black,black,5,4,gasoline,46837,11.5,10.0,2.0,4.0,Inline,3
2021,Audi,RS,23131.0,Hatchback,Automatic,4X4,gray,black,5,4,gasoline,127535,10.8,8.7,4.0,8.0,Inline,1
2019,Mazda,Mazda3,59671.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,17018,9.1,6.699999999999999,2.4,4.0,V-Engine,3
2022,GMC,Sierra,8.0,Truck,Automatic,4X4,white,black,5,2,gasoline,28534,16.0,13.0,2.7,4.0,Inline,4
2018,Honda,HR-V,47665.0,SUV,CVT,4X4,white,black,5,4,gasoline,10151,8.9,7.5,1.8,4.0,Inline,4
2023,Ford,F-150,0.0,Truck,Automatic,4X4,gray,black,5,4,gasoline,57273,12.5,10.7,3.3,4.0,Other,3
2014,Kia,Sedona,199500.0,Van,Automatic,FWD,white,gray,7,4,gasoline,10841,12.2,8.4,2.4,6.0,V-Engine,1
2006,Buick,Allure,120000.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,4564,10.8,8.7,2.4,4.0,Inline,2
2022,Acura,RDX,14700.0,SUV,Automatic,4X4,metallic,red,5,4,gasoline,52931,11.3,9.1,2.0,4.0,Inline,2
2023,Audi,Q3,90.0,SUV,Automatic,4X4,white,black,5,4,gasoline,51276,11.2,8.4,2.0,4.0,Inline,2
2019,Volkswagen,Tiguan,102298.0,SUV,Automatic,4X4,black,brown,5,4,gasoline,27743,11.1,8.1,2.4,4.0,Inline,2
2022,MINI,5,8247.0,Hatchback,Manual,FWD,green,black,5,2,gasoline,27842,8.7,6.3,1.5,3.0,Inline,3
2006,Ford,Mustang,87796.0,Convertible,Automatic,RWD,blue,black,5,2,gasoline,21828,13.9,9.05,2.4,8.0,Inline,2
2013,MINI,Cooper,119000.0,Coupe,Manual,FWD,white,black,4,2,gasoline,7789,6.8,5.3,2.4,4.0,Inline,3
2022,Dodge,Durango,4690.0,SUV,Automatic,4X4,black,black,5,4,gasoline,68725,18.3,12.2,2.4,8.0,Inline,1
2023,Jeep,Wrangler,250.0,SUV,Automatic,4X4,metallic,black,5,4,gasoline,62998,13.350000000000001,10.149999999999999,3.6,6.0,V-Engine,2
2019,Porsche,911,53298.0,Coupe,Automatic,4X4,gray,black,5,4,gasoline,107340,13.2,8.75,2.4,6.0,Inline,3
2017,Hyundai,Tucson,140820.0,SUV,Automatic,4X4,black,black,5,4,gasoline,21015,11.0,9.1,2.4,4.0,Inline,2
2023,Nissan,Kicks,90.0,SUV,Automatic,FWD,blue,gray,5,4,gasoline,20773,7.7,6.6,2.4,4.0,Inline,3
2021,Dodge,Charger,53000.0,Sedan,Automatic,RWD,black,black,5,4,gasoline,47380,12.4,7.8,2.4,6.0,V-Engine,2
2015,Audi,Q5,120000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,23134,12.0,8.5,2.0,4.0,Other,1
2019,Ford,Transit,49181.0,SUV,Automatic,4X4,white,black,5,4,gasoline,69505,10.8,8.7,2.4,4.0,Inline,1
2020,Ford,Edge,9520.0,SUV,Automatic,4X4,black,black,5,4,gasoline,40102,11.4,8.3,2.4,4.0,Inline,2
2022,Dodge,Charger,1111.0,Sedan,Automatic,RWD,black,black,5,4,gasoline,23345,14.7,9.4,2.4,8.0,Inline,4
2023,Audi,Q4,1200.0,SUV,Automatic,4X4,gray,black,5,4,electric,50295,0.0,8.7,0.0,0.0,Electric,3
2013,Ford,Focus,190000.0,Hatchback,Manual,FWD,white,black,5,4,gasoline,9281,8.9,6.2,2.4,4.0,Inline,1
2014,Kia,Soul,139852.0,Sedan,Automatic,FWD,red,black,5,4,gasoline,12283,8.1,6.5,1.6,4.0,Other,1
2023,Honda,CR-V,19.0,SUV,CVT,4X4,white,black,5,4,gasoline,32471,9.1,7.6,2.4,4.0,Inline,3
2022,Porsche,Macan,16548.0,SUV,Automatic,4X4,metallic,black,5,4,gasoline,87097,12.2,10.2,2.4,4.0,Inline,1
2019,Ford,Edge,64261.0,SUV,Automatic,4X4,gray,black,5,2,gasoline,31871,11.4,8.3,2.4,4.0,Inline,2
2023,Dodge,Charger,10.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,25692,12.8,8.7,3.6,6.0,V-Engine,4
2022,Ford,F-150,250.0,Truck,Automatic,4X4,white,black,5,4,gasoline,68786,13.5,10.2,3.5,6.0,V-Engine,2
2023,BMW,X5,7403.0,SUV,Automatic,4X4,gray,black,5,2,gasoline,97232,10.8,8.7,3.0,6.0,Inline,2
2017,Tesla,Model,115000.0,SUV,Automatic,4X4,silver,black,5,4,electric,20905,0.0,8.7,2.4,0.0,Electric,4
2023,Audi,A3,90.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,32335,10.8,8.7,2.0,4.0,Inline,3
2021,Jeep,Grand,11767.0,SUV,Automatic,4X4,metallic,black,5,4,gasoline,52698,10.8,8.7,2.4,4.0,Inline,2
2018,Ford,Escape,105000.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,8635,10.7,8.3,1.5,4.0,Other,4
2021,Porsche,Macan,39327.0,SUV,Automatic,4X4,black,red,5,4,gasoline,81184,13.5,10.5,2.4,6.0,V-Engine,1
2015,Honda,CR-V,165000.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,20695,9.1,7.2,2.4,4.0,Inline,2
2023,Jeep,Wrangler,0.0,SUV,Automatic,4X4,blue,black,5,4,electric,26915,0.0,11.9,2.4,0.0,Electric,4
2020,Porsche,Taycan,32998.0,Sedan,Automatic,4X4,black,black,5,4,electric,136999,0.0,8.7,0.0,0.0,Electric,2
2018,Chevrolet,Traverse,55098.0,SUV,Automatic,4X4,black,black,5,4,gasoline,50663,13.7,9.4,3.6,6.0,V-Engine,1
2023,Ford,Bronco,10.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,34702,13.3,12.1,2.4,4.0,Inline,3
2018,Dodge,Challenger,150000.0,Coupe,Automatic,RWD,white,red,5,2,gasoline,24072,14.7,9.4,2.4,8.0,Inline,3
2011,Acura,MDX,168000.0,SUV,Automatic,4X4,other,black,5,4,gasoline,16025,13.2,9.6,2.4,6.0,V-Engine,1
2011,Mazda,Mazda3,142000.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,4880,9.7,6.800000000000001,2.4,4.0,Inline,3
2017,Nissan,Rogue,52595.0,SUV,CVT,4X4,black,black,5,4,gasoline,7619,9.6,7.4,2.5,4.0,Inline,4
2014,Nissan,GT-R,26700.0,Coupe,Automatic,4X4,metallic,black,4,2,gasoline,139412,12.9,9.2,2.4,6.0,V-Engine,1
2015,Kia,Optima,138000.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,14742,10.2,6.9,2.4,4.0,Inline,2
2020,GMC,Terrain,55091.0,SUV,Automatic,4X4,black,black,5,4,gasoline,34802,11.2,9.0,2.0,4.0,Inline,2
2022,Porsche,Macan,1211.0,SUV,Automatic,4X4,white,black,5,4,gasoline,25713,12.4,9.3,2.4,4.0,Inline,4
2019,Hyundai,Elantra,129247.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,22711,8.3,6.4,2.0,4.0,Other,1
2019,Alfa Romeo,Romeo,44000.0,SUV,Automatic,4X4,red,black,5,4,gasoline,44593,10.8,8.7,2.4,4.0,Inline,2
2008,Volkswagen,Eos,260000.0,Convertible,Automatic,FWD,white,black,5,2,gasoline,3184,10.8,8.7,2.4,4.0,Inline,4
2018,Honda,Odyssey,74000.0,Van,Automatic,FWD,black,brown,8,4,gasoline,35153,12.2,8.5,3.5,6.0,V-Engine,2
2014,BMW,X3,122147.0,SUV,Automatic,4X4,black,black,5,4,gasoline,18701,9.8,7.1,2.4,4.0,Inline,2
2007,Infiniti,G35,153020.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,4215,12.6,8.6,3.5,4.0,Other,3
2021,Kia,Telluride,56639.0,SUV,Automatic,4X4,gray,black,8,4,gasoline,60103,12.6,9.7,2.4,6.0,V-Engine,1
2019,Volkswagen,Beetle,70007.0,Convertible,Automatic,4X4,white,black,5,4,gasoline,39125,9.0,7.1,2.4,4.0,Inline,1
2020,BMW,M2,22057.0,Coupe,Automatic,RWD,silver,black,5,4,gasoline,73592,13.4,9.6,2.4,6.0,Inline,2
2022,Kia,K5,29606.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,41526,8.7,6.4,2.4,4.0,Inline,2
2023,Dodge,Charger,12.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,58689,12.8,8.7,3.6,6.0,V-Engine,2
2019,BMW,330I,68459.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,44125,9.5,6.9,2.4,4.0,Inline,1
2019,Ford,Edge,60166.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,21780,11.4,8.3,2.0,4.0,V-Engine,3
2017,Hyundai,Elantra,197243.0,Sedan,Automatic,FWD,gray,black,5,4,gasoline,16191,8.3,6.4,2.4,4.0,Inline,2
2020,Cadillac,XT6,54000.0,SUV,Automatic,4X4,black,black,7,4,gasoline,14189,13.5,9.7,2.4,6.0,V-Engine,4
2022,Jeep,Cherokee,90.0,SUV,Automatic,4X4,white,black,5,4,gasoline,49397,12.9,9.7,3.2,6.0,V-Engine,2
2008,Bentley,Azure,27635.0,Convertible,Automatic,RWD,blue,beige,4,2,gasoline,141733,10.8,8.7,6.8,4.0,Other,2
2022,Jeep,Wrangler,6907.0,SUV,Automatic,4X4,white,black,5,4,hybrid,62774,10.8,8.7,0.0,0.0,Electric,2
2018,BMW,4,90520.0,Coupe,Automatic,RWD,white,red,4,2,gasoline,35725,11.1,7.8,3.0,4.0,Other,2
2018,Nissan,Murano,61315.0,Wagon,Automatic,4X4,black,black,5,4,gasoline,30911,11.2,8.4,2.4,6.0,V-Engine,1
2021,Volvo,XC60,21823.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,54158,10.8,8.7,2.0,4.0,Inline,2
2023,Kia,Sportage,150.0,SUV,Automatic,4X4,white,black,5,4,gasoline,40641,10.8,8.7,2.4,4.0,Inline,2
2011,Honda,CR-V,170000.0,SUV,Automatic,4X4,white,black,5,4,gasoline,14184,10.1,7.5,2.4,4.0,Inline,2
2021,Volvo,XC40,32934.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,48939,10.8,8.7,2.4,4.0,Inline,2
2023,Infiniti,QX80,90.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,106767,17.5,12.2,2.4,8.0,Inline,1
2018,Hyundai,Elantra,47270.0,Sedan,Automatic,FWD,blue,black,5,4,gasoline,18674,8.3,6.4,2.4,4.0,Inline,2
2016,Dodge,Journey,133672.0,SUV,Automatic,FWD,white,black,7,4,gasoline,16611,14.2,9.4,3.6,6.0,Inline,2
2015,Jeep,Wrangler,171000.0,SUV,Manual,4X4,red,black,5,2,gasoline,28272,13.8,11.2,3.6,6.0,V-Engine,1
2017,Kia,Sportage,129000.0,SUV,Automatic,4X4,gray,black,5,4,gasoline,19530,11.3,9.5,2.4,4.0,Inline,2
2023,Ford,Explorer,25.0,SUV,Automatic,4X4,black,black,5,4,gasoline,44792,11.7,8.6,2.3,4.0,Inline,3
2022,Chevrolet,Corvette,650.0,Coupe,Automatic,RWD,black,red,5,2,gasoline,135063,15.1,9.6,2.4,8.0,Inline,2
2018,Maserati,Ghibli,57280.0,Sedan,Automatic,4X4,gray,orange,5,4,gasoline,64313,14.7,9.8,2.4,6.0,V-Engine,2
2018,Nissan,Rogue,87747.0,SUV,CVT,4X4,red,black,5,4,gasoline,24051,9.7,7.4,2.4,4.0,Inline,2
2023,Nissan,Sentra,14.0,Sedan,CVT,FWD,blue,gray,5,4,gasoline,27795,8.0,6.0,2.4,4.0,Inline,2
2019,Volkswagen,Jetta,49609.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,9648,7.8,5.9,2.4,4.0,Inline,4
2021,Cadillac,Escalade,74299.0,SUV,Automatic,4X4,white,white,7,4,gasoline,69664,17.15,12.5,6.2,8.0,V-Engine,3
2020,Ford,Mustang,24737.0,Coupe,Manual,RWD,white,black,4,2,gasoline,63096,11.2,7.6,2.3,4.0,Other,1
2019,Chevrolet,Equinox,89670.0,SUV,Automatic,FWD,white,beige,5,4,gasoline,22749,9.2,7.3,2.4,4.0,Inline,2
2022,Ford,Mustang,0.0,Convertible,Automatic,RWD,orange,gray,5,2,gasoline,68500,15.8,10.4,2.4,8.0,Inline,2
2023,Infiniti,QX80,90.0,SUV,Automatic,4X4,black,black,5,4,gasoline,95767,17.5,12.2,2.4,8.0,Inline,2
2018,Honda,Civic,137788.0,Sedan,Automatic,FWD,silver,black,5,4,gasoline,16437,7.8,6.0,2.4,4.0,Inline,3
2016,BMW,3,41000.0,Sedan,Automatic,4X4,white,black,5,4,gasoline,14226,10.4,6.8,2.4,4.0,Inline,3
1987,Mercedes-Benz,SL-Class,128026.0,Coupe,Automatic,4X4,black,black,5,4,gasoline,18203,10.8,8.7,2.4,8.0,Inline,3
2019,Hyundai,Elantra,87341.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,8002,8.3,6.4,2.4,4.0,Inline,4
2018,Honda,Civic,114406.0,Sedan,Automatic,FWD,blue,black,5,4,gasoline,24462,7.8,6.0,2.0,4.0,Other,2
2013,Volkswagen,Jetta,102902.0,Sedan,Automatic,FWD,blue,gray,5,4,hybrid,11537,10.8,8.7,1.4,4.0,Other,1
2017,Volkswagen,Golf,59601.0,Hatchback,Automatic,4X4,green,black,5,4,gasoline,24150,10.4,7.9,2.4,4.0,Inline,2
2023,Audi,Q4,90.0,Hatchback,Automatic,4X4,gray,black,5,4,electric,81674,0.0,8.7,2.4,0.0,Electric,2
2019,Ford,F-250,68784.0,SUV,Automatic,4X4,white,black,5,4,gasoline,48187,10.8,8.7,2.4,4.0,Inline,3
2013,Mazda,CX-5,247000.0,SUV,Automatic,4X4,red,black,5,4,gasoline,9025,10.8,8.7,2.4,4.0,Inline,3
2016,Mercedes-Benz,G-Class,79000.0,SUV,Automatic,4X4,black,red,5,4,gasoline,120695,20.0,16.6,2.4,8.0,Inline,1
2017,Honda,CR-V,186500.0,SUV,CVT,4X4,black,black,5,4,gasoline,29549,8.7,7.2,2.4,4.0,Inline,2
2023,BMW,3,90.0,Sedan,Automatic,4X4,gray,black,5,4,hybrid,64341,10.6,7.4,2.0,4.0,Inline,2
2023,Jeep,Gladiator,17.0,SUV,Automatic,4X4,white,black,5,4,gasoline,75996,10.8,8.7,3.6,6.0,V-Engine,2
2019,Volkswagen,Golf,70055.0,Hatchback,Automatic,4X4,gray,black,5,4,gasoline,25904,10.2,7.9,2.4,4.0,Inline,2
2018,Chevrolet,Equinox,73599.0,SUV,Automatic,4X4,black,gray,5,4,gasoline,20146,9.8,7.9,1.5,4.0,Inline,2
2022,Ford,F-150,250.0,Truck,Automatic,4X4,gray,black,5,4,gasoline,69737,13.5,10.2,3.5,6.0,V-Engine,2
2023,GMC,SIERRA,10.0,Truck,Automatic,4X4,black,black,5,4,diesel,98178,10.8,8.7,2.4,8.0,Inline,2
2022,Hyundai,Sonata,54442.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,36156,8.8,6.4,2.4,4.0,Inline,1
2020,Tesla,Model,118784.0,SUV,Automatic,4X4,white,black,5,4,electric,17684,0.0,8.7,0.0,0.0,Electric,4
2022,Jeep,Compass,0.0,SUV,Automatic,4X4,black,black,5,4,gasoline,45489,10.8,7.8,2.4,4.0,Inline,2
2018,Volkswagen,Tiguan,66096.0,SUV,Automatic,4X4,white,black,7,4,gasoline,10231,11.3,8.8,2.4,4.0,Inline,4
2019,Hyundai,Santa,71325.0,SUV,Automatic,4X4,red,black,5,4,gasoline,27620,11.2,8.7,2.4,4.0,Inline,2
2019,BMW,X3,53615.0,SUV,Automatic,4X4,white,black,5,4,gasoline,23253,10.8,8.0,2.4,4.0,Inline,3
2019,Volkswagen,Tiguan,56118.0,SUV,Automatic,4X4,silver,black,7,4,gasoline,27924,11.1,8.1,2.4,4.0,Inline,2
2023,GMC,Acadia,10.0,SUV,Automatic,4X4,white,black,5,4,gasoline,57361,12.6,9.2,3.6,6.0,V-Engine,2
1987,Mercedes-Benz,500-Series,139000.0,Coupe,Automatic,RWD,gray,black,5,2,gasoline,54903,10.8,8.7,2.4,8.0,Inline,1
2017,Hyundai,Santa,74994.0,SUV,Automatic,4X4,white,beige,5,4,gasoline,16677,12.5,9.6,2.0,4.0,Other,3
2022,Ford,Bronco,45.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,50536,9.3,8.4,1.5,4.0,Other,2
2014,Porsche,Panamera,139000.0,Hatchback,Automatic,4X4,other,beige,4,4,gasoline,11120,11.7,7.5,2.4,6.0,Inline,4
2019,Chevrolet,Camaro,79000.0,Coupe,Automatic,RWD,black,black,5,2,gasoline,24601,10.8,8.7,2.4,4.0,Inline,3
2013,Chevrolet,Volt,170000.0,Sedan,Automatic,FWD,silver,black,4,4,electric,10521,0.0,5.9,2.4,0.0,Electric,3
2023,Jeep,Wrangler,90.0,SUV,Automatic,4X4,white,black,5,4,gasoline,70049,11.5,9.9,2.0,4.0,Inline,1
2018,Cadillac,Escalade,59500.0,SUV,Automatic,4X4,white,black,5,4,gasoline,35223,16.6,10.9,2.4,8.0,Inline,3
2022,Tesla,Model,4780.0,SUV,Automatic,4X4,white,white,6,4,electric,76223,0.0,8.7,0.0,0.0,Electric,2
2012,Fiat,500,193000.0,Hatchback,Automatic,FWD,brown,black,5,2,gasoline,8076,10.8,8.7,2.4,4.0,Inline,2
2019,Ford,Edge,64261.0,SUV,Automatic,4X4,gray,black,5,2,gasoline,21599,11.4,8.3,2.4,4.0,Inline,3
2021,Porsche,Macan,37372.0,SUV,Automatic,4X4,white,black,5,4,gasoline,81938,12.2,10.2,2.4,4.0,Inline,1
2007,Mercedes-Benz,M-Class,310640.0,SUV,Automatic,4X4,gray,black,5,4,diesel,9880,11.0,8.1,2.4,6.0,V-Engine,1
2016,Hyundai,Elantra,196000.0,Sedan,Automatic,FWD,silver,gray,5,4,gasoline,8442,8.5,6.3,1.8,4.0,Other,3
2019,GMC,Savana,63258.0,Van,Automatic,RWD,white,black,2,3,gasoline,46052,10.8,8.7,2.4,8.0,Inline,1
2018,BMW,5,85678.0,Sedan,Automatic,4X4,gray,black,5,4,gasoline,45500,14.3,9.4,2.4,8.0,Inline,2
2019,Volkswagen,Tiguan,56118.0,SUV,Automatic,4X4,silver,black,7,4,gasoline,19191,11.1,8.1,2.4,4.0,Inline,3
2017,Chrysler,Pacifica,100000.0,Van,Automatic,FWD,gray,black,5,4,gasoline,30115,10.8,8.7,2.4,4.0,Inline,2
2021,Nissan,Rogue,47800.0,SUV,CVT,4X4,blue,brown,5,4,gasoline,36528,9.2,7.2,2.5,4.0,V-Engine,2
2023,Honda,Civic,4300.0,Sedan,CVT,4X4,blue,black,5,4,gasoline,37506,7.8,6.3,2.4,4.0,Inline,2
2020,Hyundai,Kona,47565.0,SUV,Automatic,4X4,black,black,5,4,gasoline,20169,9.2,7.8,2.0,4.0,Inline,3
2017,Subaru,WRX,137500.0,Sedan,Manual,4X4,black,black,5,4,gasoline,9604,11.3,8.5,2.4,4.0,Inline,4
2023,Ford,F-150,7.0,Truck,Automatic,4X4,black,black,5,4,electric,78059,0.0,8.7,0.0,0.0,Electric,2
2020,Hyundai,Tucson,20896.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,20906,10.8,9.2,2.4,4.0,Inline,3
2022,Audi,e-tron,7388.0,SUV,Automatic,4X4,silver,black,5,4,electric,58868,0.0,8.7,0.0,0.0,Electric,3
2023,Volkswagen,Atlas,5583.0,SUV,Automatic,4X4,white,black,5,4,gasoline,61324,13.4,10.1,2.4,6.0,V-Engine,2
2011,Hyundai,Sonata,112000.0,SUV,Automatic,4X4,black,black,5,4,gasoline,5101,10.8,8.7,2.4,4.0,Inline,3
1998,Mercedes-Benz,SL-Class,90006.0,Convertible,Automatic,RWD,silver,black,5,2,gasoline,62818,10.8,8.7,2.4,12.0,Inline,2
2022,Jeep,Grand,11887.0,SUV,Automatic,4X4,black,black,5,4,gasoline,80703,12.3,9.2,3.6,6.0,V-Engine,2
2012,Dodge,Journey,196996.0,SUV,Automatic,4X4,blue,black,5,4,gasoline,4748,13.0,8.4,3.6,6.0,V-Engine,3
2020,Porsche,Cayenne,60108.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,55790,12.5,10.3,2.4,6.0,V-Engine,3
2019,Audi,Q8,65939.0,SUV,Automatic,4X4,other,black,5,4,hybrid,59191,10.8,8.7,2.4,6.0,V-Engine,2
2021,Mazda,MX-5,2783.0,Convertible,Manual,RWD,gray,black,5,4,gasoline,46696,9.0,6.8,2.0,4.0,Inline,2
2019,Ford,F-150,75000.0,Truck,Automatic,RWD,black,black,5,4,gasoline,15990,12.2,9.3,2.4,6.0,V-Engine,4
2021,BMW,X3,14037.0,SUV,Automatic,4X4,white,black,5,4,gasoline,47715,10.2,8.2,2.4,4.0,Inline,2
2015,GMC,Sierra,207773.0,Truck,Automatic,4X4,black,gray,5,4,gasoline,25551,10.8,8.7,5.3,8.0,V-Engine,1
2013,Audi,A4,131580.0,Sedan,Manual,4X4,black,gray,5,4,gasoline,3490,10.0,7.0,2.4,4.0,Inline,4
2013,Jaguar,XF,175398.0,Sedan,Automatic,4X4,green,red,5,4,gasoline,16432,13.1,7.7,3.0,4.0,Other,1
2023,Jeep,Wrangler,26.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,68532,11.5,9.9,2.0,4.0,Inline,1
2021,Honda,Civic,18103.0,Sedan,CVT,FWD,blue,black,5,4,gasoline,30345,7.9,6.1,2.4,4.0,Inline,2
2017,Acura,MDX,89000.0,SUV,Automatic,4X4,silver,black,5,4,gasoline,34012,10.8,8.7,2.4,4.0,Inline,2
2022,Mercedes-Benz,GLC300,434.0,SUV,Automatic,4X4,white,black,5,4,gasoline,63971,11.5,9.1,2.4,4.0,Inline,2
2013,Ford,Explorer,165196.0,SUV,Automatic,4X4,black,black,5,2,gasoline,5263,12.7,8.7,3.5,6.0,Inline,4
2020,Honda,Civic,58000.0,Coupe,Manual,FWD,black,black,4,2,gasoline,31157,8.9,6.4,2.4,4.0,Inline,1
2018,Mercedes-Benz,GLE-Class,147867.0,SUV,Automatic,4X4,black,white,5,4,gasoline,11529,13.5,10.3,2.4,6.0,V-Engine,4
2018,Kia,Sportage,53334.0,SUV,Automatic,FWD,black,black,5,4,gasoline,16774,10.3,7.8,2.4,4.0,Inline,3
2011,Acura,CSX,218000.0,Sedan,Manual,FWD,white,black,5,4,gasoline,10852,8.7,6.4,2.4,4.0,Inline,2
2018,BMW,X1,97608.0,Wagon,Automatic,4X4,white,black,5,4,gasoline,32098,10.7,7.5,2.4,4.0,Inline,1
